,Process,Parameter,Value
TOM,P_TOM,P_TOM_apparent_efficiency,15427.871983521418
Tim910,P_Tim910,P_Tim910_apparent_efficiency,8860.860225471095
TIM23,P_Tim23,P_Tim23_apparent_efficiency,27855.115045892566
PAMm,P_PAMm,P_PAMm_apparent_efficiency,18592.566824804508
HSP40c,P_HSP40c,P_HSP40c_apparent_efficiency,46660.7331883739
HSP70c,P_HSP70c,P_HSP70c_apparent_efficiency,4613.135534183309
CTTc,P_CTTc,P_CTTc_apparent_efficiency,77721.87408668105
HSP90c,P_HSP90c,P_HSP90c_apparent_efficiency,18384.009216147653
PFD,P_PFDc,P_PFDc_apparent_efficiency,278096.6588634821
HSP60m,P_HSP60m,P_HSP60m_apparent_efficiency,2192.353122178819
SEC63er,P_SEC63er,P_SEC63er_apparent_efficiency,122422.35517150551
SEC61er,P_SEC61er,P_SEC61er_apparent_efficiency,11248.8446868812
HSP100m,P_HSP100m,P_HSP100m_apparent_efficiency,7127.058959334192
HSP26c,P_HSP26c,P_HSP26c_apparent_efficiency,842.463853057332
SAM,P_SAMm,P_SAMm_apparent_efficiency,16905.940599834536
MIA,P_MIA,P_MIA_apparent_efficiency,16905.940599834536
TIM22,P_TIM22,P_TIM22_apparent_efficiency,16905.940599834536
MPP,P_MPP,P_MPP_apparent_efficiency,16905.940599834536
RNApolymerase2,P_RNApolymerase2,P_RNApolymerase2_apparent_efficiency,2.3944002977663457e-16
RNApolymerase3,P_RNApolymerase3,P_RNApolymerase3_apparent_efficiency,2.292795584124242e-18
DNAreplication,P_DNAreplication,P_DNAreplication_apparent_efficiency,2.4715068129172995e-18
mitoDNAreplication,P_mitoDNAreplication,P_mitoDNAreplication_apparent_efficiency,2.7345763509394065e-20
